Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.889 [0.84-0.98],0.714 [0.38-1.0]
Specificity,0.994 [0.98-1.0],0.882 [0.77-1.0]
FPR,0.006 [0.0-0.02],0.118 [0.0-0.23]
FNR,0.111 [0.02-0.16],0.286 [0.0-0.62]
Precision,0.982 [0.94-1.0],0.75 [0.5-1.0]
PPV,0.982 [0.94-1.0],0.75 [0.5-1.0]
NPV,0.957 [0.94-0.99],0.882 [0.78-1.0]
F1,0.933 [0.89-0.99],0.721 [0.42-0.93]
F2,0.908 [0.86-0.99],0.714 [0.39-0.97]
ROCAUC,0.997 [0.99-1.0],0.887 [0.65-1.0]
Brier,0.029 [0.01-0.04],0.112 [0.05-0.24]
PRAUC,0.993 [0.98-1.0],0.792 [0.45-0.99]
