Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.887 [0.84-0.97],0.714 [0.38-1.0]
Specificity,0.994 [0.97-1.0],0.882 [0.8-1.0]
FPR,0.006 [0.0-0.03],0.118 [0.0-0.2]
FNR,0.113 [0.03-0.16],0.286 [0.0-0.62]
Precision,0.982 [0.93-1.0],0.714 [0.5-1.0]
PPV,0.982 [0.93-1.0],0.714 [0.5-1.0]
NPV,0.956 [0.94-0.99],0.882 [0.78-1.0]
F1,0.932 [0.88-0.98],0.714 [0.43-0.93]
F2,0.905 [0.86-0.97],0.714 [0.4-0.95]
ROCAUC,0.996 [0.99-1.0],0.903 [0.65-0.99]
Brier,0.032 [0.01-0.05],0.114 [0.05-0.24]
PRAUC,0.99 [0.97-1.0],0.798 [0.49-0.98]
