Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.774 [0.73-0.82],0.714 [0.33-1.0]
Specificity,0.935 [0.92-0.95],0.941 [0.8-1.0]
FPR,0.065 [0.05-0.08],0.059 [0.0-0.2]
FNR,0.226 [0.18-0.27],0.286 [0.0-0.67]
Precision,0.828 [0.79-0.86],0.75 [0.5-1.0]
PPV,0.828 [0.79-0.86],0.75 [0.5-1.0]
NPV,0.912 [0.9-0.93],0.889 [0.78-1.0]
F1,0.8 [0.77-0.84],0.75 [0.44-0.93]
F2,0.787 [0.75-0.83],0.735 [0.37-0.96]
ROCAUC,0.937 [0.93-0.95],0.899 [0.67-0.99]
Brier,0.085 [0.07-0.1],0.111 [0.05-0.21]
PRAUC,0.88 [0.86-0.91],0.808 [0.55-0.98]
